"No","Priority","English","Local",,,
"4e+02","3","Gantry brake overload - ","Gantry brake overload - ",,,
"4e+02","3","Breaker R-F71 or R-F76 tripped ","Breaker R-F71 or R-F76 tripped ",,,
"4e+02","3"," Action: Gantry disabled
 Device: Circuit breakers R-F71, R-F76
 Location: E-room, Dwg p: 154,155
 Check: Gantry brakes and cable
 One of the brake coil may be faulty
 SW I/O: I9.3 I32.4, Dwg p:309 SW:FC400
 Alarm SA ref: 4.1.4, SW:FC414"," Action: Gantry disabled
 Device: Circuit breakers R-F71, R-F76
 Location: E-room, Dwg p: 154,155
 Check: Gantry brakes and cable
 One of the brake coil may be faulty
 SW I/O: I9.3 I32.4, Dwg p:309 SW:FC400
 Alarm SA ref: 4.1.4, SW:FC414"
"4e+02","3","Gantry 1 Inverter Drive fault","Gantry 1 Inverter Drive fault",,,
"4e+02","3",,,,,
"4e+02","3"," Action: Gantry disabled
 Device:Hoist/Gantry inverter R-A12
 Location: E-room, Dwg p:150
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR1_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413"," Action: Gantry disabled
 Device:Hoist/Gantry inverter R-A12
 Location: E-room, Dwg p:150
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR1_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413",,,
"4.1e+02","3","Gantry 2 Inverter Drive fault","Gantry 2 Inverter Drive fault",,,
"4.1e+02","3",,,,,
"4.1e+02","3"," Action: Gantry disabled
 Device:Gantry inverter R-A34
 Location: E-room, Dwg p:151
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR2_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413"," Action: Gantry disabled
 Device:Gantry inverter R-A34
 Location: E-room, Dwg p:151
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR2_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413",,,
"4.1e+02","3","Gantry 3 Inverter Drive fault","Gantry 3 Inverter Drive fault",,,
"4.1e+02","3",,,,,
"4.1e+02","3"," Action: Gantry disabled
 Device:Hoist/Gantry inverter R-A56
 Location: E-room, Dwg p:152
 Check: gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR3_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413"," Action: Gantry disabled
 Device:Hoist/Gantry inverter R-A56
 Location: E-room, Dwg p:152
 Check: gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR3_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413",,,
"4.1e+02","3","Gantry 4 Inverter Drive fault","Gantry 4 Inverter Drive fault",,,
"4.1e+02","3",,,,,
"4.1e+02","3"," Action: Gantry disabled
 Device:Gantry inverter R-A78
 Location: E-room, Dwg p:153
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR4_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413"," Action: Gantry disabled
 Device:Gantry inverter R-A78
 Location: E-room, Dwg p:153
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset 
 SW I/O: MR4_D2V_FAULT
 Alarm SA ref: 4.1.3, SW:FC413",,,
"4.1e+02","3","nu","nu",,,
"4.1e+02","3",,,,,
"4.1e+02","3",,,,,
"4.1e+02","3","nu","nu",,,
"4.1e+02","3",,,,,
"4.1e+02","3",,,,,
"4.1e+02","2","Gantry Ultrasonic sensitivity ","Gantry Ultrasonic sensitivity ",,,
"4.1e+02","2","reduced from panel, lower speed ","reduced from panel, lower speed ",,,
"4.1e+02","2"," Action: check sensitivity
 Device: 
 Location: Cabin or Eroom, Dwg p:
 Check: 
 
 SW I/O: Dwg p: ,SW:
 Alarm SA ref:, SW: "," Action: check sensitivity
 Device: 
 Location: Cabin or Eroom, Dwg p:
 Check: 
 
 SW I/O: Dwg p: ,SW:
 Alarm SA ref:, SW: ",,,
"4.1e+02","3","nu","nu",,,
"4.1e+02","3",,,,,
"4.1e+02","3",,,,,
"4.1e+02","3","nu","nu",,,
"4.1e+02","3",,,,,
"4.1e+02","3",,,,,
"4.1e+02","3","nu","nu",,,
"4.1e+02","3",,,,,
"4.1e+02","3",,,,,
"4.2e+02","3","nu","nu",,,
"4.2e+02","3",,,,,
"4.2e+02","3",,,,,
"4.2e+02","3","nu","nu",,,
"4.2e+02","3",,,,,
"4.2e+02","3",,,,,
"4.2e+02","2","nu","nu",,,
"4.2e+02","2",,,,,
"4.2e+02","2",,,,,
"4.2e+02","2","nu","nu",,,
"4.2e+02","2",,,,,
"4.2e+02","2",,,,,
"4.2e+02","2","Telephone door in diesel side","Telephone door in diesel side",,,
"4.2e+02","2"," is open"," is open",,,
"4.2e+02","2",,,,,
"4.2e+02","2","Telephone door in access side","Telephone door in access side",,,
"4.2e+02","2"," is open"," is open",,,
"4.2e+02","2",,,,,
"4.2e+02","2","Diesel doors are open","Diesel doors are open",,,
"4.2e+02","2",,,,,
"4.2e+02","2",,,,,
"4.2e+02","2","Catwhisker corner A active","Catwhisker corner A active",,,
"4.2e+02","2",,,,,
"4.2e+02","2"," Action: Gantry travelling disabled
 Device: Catwhisker R-S01
 Location: Bogie A, Dwg p: 371
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I43.2, Dwg p:371, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416"," Action: Gantry travelling disabled
 Device: Catwhisker R-S01
 Location: Bogie A, Dwg p: 371
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I43.2, Dwg p:371, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416",,,
"4.2e+02","2","Catwhisker corner B active","Catwhisker corner B active",,,
"4.2e+02","2",,,,,
"4.2e+02","2"," Action: Gantry travelling disabled
 Device: Catwhisker R-S03
 Location: Bogie B, Dwg p: 324
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I21.2, Dwg p:324, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416 "," Action: Gantry travelling disabled
 Device: Catwhisker R-S03
 Location: Bogie B, Dwg p: 324
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I21.2, Dwg p:324, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416 ",,,
"4.2e+02","2","Catwhisker corner C active","Catwhisker corner C active",,,
"4.2e+02","2",,,,,
"4.2e+02","2"," Action: Gantry travelling disabled
 Device: Catwhisker R-S05
 Location: Bogie C, Dwg p: 327
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I23.2, Dwg p:327, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416"," Action: Gantry travelling disabled
 Device: Catwhisker R-S05
 Location: Bogie C, Dwg p: 327
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I23.2, Dwg p:327, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416",,,
"4.2e+02","2","Catwhisker corner D active","Catwhisker corner D active",,,
"4.2e+02","2",,,,,
"4.2e+02","2"," Action: Gantry travelling disabled
 Device: Catwhisker R-S07
 Location: Bogie D, Dwg p: 374
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I45.3, Dwg p:374, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416"," Action: Gantry travelling disabled
 Device: Catwhisker R-S07
 Location: Bogie D, Dwg p: 374
 Check: Bypass switch and drive
 gantry opposite direction
 SW I/O: I45.3, Dwg p:374, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416",,,
"4.3e+02","2","Ladder not stowed","Ladder not stowed",,,
"4.3e+02","2",,,,,
"4.3e+02","2"," Action: Gantry travelling disabled
 Device: Limit switch  O-S10
 Location: E-room ladder, Dwg p.313
 Check: Ladders are on its bracket
 Function of the limit switch
 SW I/O: I15.0, Dwg p.313, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416"," Action: Gantry travelling disabled
 Device: Limit switch  O-S10
 Location: E-room ladder, Dwg p.313
 Check: Ladders are on its bracket
 Function of the limit switch
 SW I/O: I15.0, Dwg p.313, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416",,,
"4.3e+02","2","Shore power plug is not stowed","Shore power plug is not stowed",,,
"4.3e+02","2",,,,,
"4.3e+02","2"," Action: Gantry travelling disabled
 Device: Limit switch T-S01
 Location: Near main diesel, Dwg p: 313
 Check:Shore power plug is not
 properly plugged to receptacle
 SW I/O:I15.1, Dwg p.313, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416"," Action: Gantry travelling disabled
 Device: Limit switch T-S01
 Location: Near main diesel, Dwg p: 313
 Check:Shore power plug is not
 properly plugged to receptacle
 SW I/O:I15.1, Dwg p.313, SW:FC400
 Alarm SA ref: 4.1.6, SW:FC416",,,
"4.3e+02","3","Motor pair selections error (R1-K2)","Motor pair selections error (R1-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R1-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.0, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R1-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.0, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.3e+02","3","Motor pair selections error (R2-K2)","Motor pair selections error (R2-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R2-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.1, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R2-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.1, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.3e+02","3","Motor pair selections error (R3-K2)","Motor pair selections error (R3-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R3-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.4, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R3-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.4, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.3e+02","3","Motor pair selections error (R4-K2)","Motor pair selections error (R4-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R4-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.5, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R4-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.5, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.3e+02","3","Motor pair selections error (R5-K2)","Motor pair selections error (R5-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R5-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.6, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R5-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.6, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.3e+02","3","Motor pair selections error (R6-K2)","Motor pair selections error (R6-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R6-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.7, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R6-K1
 Location: E-room, Dwg p: 317
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I9.7, Dwg p:307, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.3e+02","3","Motor pair selections error (R7-K2)","Motor pair selections error (R7-K2)",,,
"4.3e+02","3",,,,,
"4.3e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R7-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.2, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R7-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.2, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.4e+02","3","Motor pair selections error (R8-K2)","Motor pair selections error (R8-K2)",,,
"4.4e+02","3",,,,,
"4.4e+02","3"," Action: Gantry travelling disabled
 Device: Contactor R8-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.3, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463"," Action: Gantry travelling disabled
 Device: Contactor R8-K1
 Location: E-room, Dwg p: 365
 Check: Breaker Z1-F11 and
 breaker  O-F13
 SW I/O:I31.3, Dwg p:352, SW:FC400
 Alarm SA ref: 4.6.3, SW:FC463",,,
"4.4e+02","3","PLC sending to GPS failed","PLC sending to GPS failed",,,
"4.4e+02","3",,,,,
"4.4e+02","3"," Action:Alarm
 Device:PLC
 Location: ,Dwg p:
 Check: PLC to GPS
 transmission failed
 SW I/O:R_GPS_VAR.SEND_ERROR
 Alarm SA ref:K1.2.2, SW:FC472"," Action:Alarm
 Device:PLC
 Location: ,Dwg p:
 Check: PLC to GPS
 transmission failed
 SW I/O:R_GPS_VAR.SEND_ERROR
 Alarm SA ref:K1.2.2, SW:FC472",,,
"4.4e+02","3","GPS reception - No messages -","GPS reception - No messages -",,,
"4.4e+02","3","watchdog error","watchdog error",,,
"4.4e+02","3"," Action:No Autosteering-gantry dis.
 Device:PLC
 
 Check: PLC and VX4 serial cables
 and fibres to E-room
 SW I/O:R_GPS_VAR.RCV_ERROR
 Alarm SA ref:K1.2.3, SW:FC473"," Action:No Autosteering-gantry dis.
 Device:PLC
 
 Check: PLC and VX4 serial cables
 and fibres to E-room
 SW I/O:R_GPS_VAR.RCV_ERROR
 Alarm SA ref:K1.2.3, SW:FC473",,,
"4.4e+02","2","GPS reception - Receive error","GPS reception - Receive error",,,
"4.4e+02","2",,,,,
"4.4e+02","2"," GPS reception - Receive error 
 Action:Alarm
 Device:GPS
 
 Check:PLC receiving error
 communication error
 SW I/O:R_GPS_VAR.RCV_ERROR
 Alarm SA ref:K1.2.3, SW:FC473"," GPS reception - Receive error 
 Action:Alarm
 Device:GPS
 
 Check:PLC receiving error
 communication error
 SW I/O:R_GPS_VAR.RCV_ERROR
 Alarm SA ref:K1.2.3, SW:FC473",,,
"4.4e+02","2","GPS autosteering - Not available","GPS autosteering - Not available",,,
"4.4e+02","2",,,,,
"4.4e+02","2"," Action:Gantry autosteering disabled
 Device: GPS
 Location:
 Check:
 "," Action:Gantry autosteering disabled
 Device: GPS
 Location:
 Check:
 ",,,
"4.4e+02","2","GPS autosteering - ","GPS autosteering - ",,,
"4.4e+02","2","Crane is not on rail","Crane is not on rail",,,
"4.4e+02","2"," Action:Gantry autosteering disabled
 Device: GPS
 Location:
 Check: Drive crane on rail!
 
 SW I/O:R_GPS_VAR.RCV_ON_RAIL
 Alarm SA ref:K1.2.4, SW:FC474"," Action:Gantry autosteering disabled
 Device: GPS
 Location:
 Check: Drive crane on rail!
 
 SW I/O:R_GPS_VAR.RCV_ON_RAIL
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.4e+02","2","GPS autosteering -","GPS autosteering -",,,
"4.4e+02","2"," Autosteering is not active"," Autosteering is not active",,,
"4.4e+02","2"," Action:Gantry autosteering disabled
 Device: GPS and switch R-S41
 Location: Cabin Dwg p. 
 Check: Position of the switch
 
 SW I/O:R_GPS_VAR.RCV_AUTO_STR
 Alarm SA ref:K1.2.4, SW:FC474"," Action:Gantry autosteering disabled
 Device: GPS and switch R-S41
 Location: Cabin Dwg p. 
 Check: Position of the switch
 
 SW I/O:R_GPS_VAR.RCV_AUTO_STR
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.4e+02","3","GPS system - ","GPS system - ",,,
"4.4e+02","3","Gantry speed reference error","Gantry speed reference error",,,
"4.4e+02","3"," Action: Gantry stopped
 Device: GPS
 Location:
 Check: Too big Gantry
 speed difference
 SW I/O:R_GPS_VAR.SPREF_DIFF_E
 Alarm SA ref:K1.2.4, SW:FC474"," Action: Gantry stopped
 Device: GPS
 Location:
 Check: Too big Gantry
 speed difference
 SW I/O:R_GPS_VAR.SPREF_DIFF_E
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.4e+02","2","GPS reception - ","GPS reception - ",,,
"4.4e+02","2","Receive checksum error ","Receive checksum error ",,,
"4.4e+02","2"," Action: Gantry stopped
 Device: GPS to PLC
 Location: 
 Check: GPS -> PLC
 communication error
 SW I/O:R_GPS_VAR.RCV_CSUM_E
 Alarm SA ref:K1.2.4, SW:FC474"," Action: Gantry stopped
 Device: GPS to PLC
 Location: 
 Check: GPS -> PLC
 communication error
 SW I/O:R_GPS_VAR.RCV_CSUM_E
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.4e+02","2","GPS reception - Start word error","GPS reception - Start word error",,,
"4.4e+02","2",,,,,
"4.4e+02","2"," Action: Gantry stopped
 Device: GPS to PLC
 Location:
 Check: GPS -> PLC
 communication error
 SW I/O:R_GPS_VAR.RCV_SWORD_E
 Alarm SA ref:K1.2.4, SW:FC474"," Action: Gantry stopped
 Device: GPS to PLC
 Location:
 Check: GPS -> PLC
 communication error
 SW I/O:R_GPS_VAR.RCV_SWORD_E
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.4e+02","2","GPS reception - Missing messages","GPS reception - Missing messages",,,
"4.4e+02","2",,,,,
"4.4e+02","2"," Action: Gantry stopped
 Device: GPS to PLC
 Location:
 Check: GPS ->PLC missing messages
 PLC not receive all messages
 SW I/O:R_GPS_VAR.RCV_CNT_E
 Alarm SA ref:K1.2.4, SW:FC474"," Action: Gantry stopped
 Device: GPS to PLC
 Location:
 Check: GPS ->PLC missing messages
 PLC not receive all messages
 SW I/O:R_GPS_VAR.RCV_CNT_E
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.5e+02","2","nu","nu",,,
"4.5e+02","2",,,,,
"4.5e+02","2",,,,,
"4.5e+02","1","GPS autosteering switch selected off","GPS autosteering switch selected off",,,
"4.5e+02","1",,,,,
"4.5e+02","1"," Action:Gantry autosteering disabled
 Device: Switch R-S41
 Location: Cabin Dwg p. 453
 Check: Position of the switch
 SW I/O:I102.6 p. 453
 Alarm SA ref:K1.2.4, SW:FC474"," Action:Gantry autosteering disabled
 Device: Switch R-S41
 Location: Cabin Dwg p. 453
 Check: Position of the switch
 SW I/O:I102.6 p. 453
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.5e+02","3","GPS autosteering selected ON and ","GPS autosteering selected ON and ",,,
"4.5e+02","3","GPS system fault ","GPS system fault ",,,
"4.5e+02","3"," Action: Gantry stopped
 Device: GPS
 Location: 
 Check: 
   
 SW I/O:R_GPS_VAR.RCV_AUTO_ERRO
 RAlarm SA ref:K1.2.4, SW:FC474"," Action: Gantry stopped
 Device: GPS
 Location: 
 Check: 
   
 SW I/O:R_GPS_VAR.RCV_AUTO_ERRO
 RAlarm SA ref:K1.2.4, SW:FC474",,,
"4.5e+02","1","GPS No communication to TOS","GPS No communication to TOS",,,
"4.5e+02","1",,,,,
"4.5e+02","1"," Action:
 Device:
 Location:
 Check:
 
 SW I/O:R_GPS_VAR.RCV_TOS_COMM_FAU
 Alarm SA ref:K1.2.4, SW:FC474"," Action:
 Device:
 Location:
 Check:
 
 SW I/O:R_GPS_VAR.RCV_TOS_COMM_FAU
 Alarm SA ref:K1.2.4, SW:FC474",,,
"4.5e+02","3","Bogie position error- ","Bogie position error- ",,,
"4.5e+02","3","Travelling disabled","Travelling disabled",,,
"4.5e+02","3","Action: Gantry disabled
Device:Bogie encoders or 
locking pins not down
Location:Bogies
Check: Bogie encoder and locking pins
SW I/O: 
Alarm SA ref: 8.8.0, SW:FC880","Action: Gantry disabled
Device:Bogie encoders or 
locking pins not down
Location:Bogies
Check: Bogie encoder and locking pins
SW I/O: 
Alarm SA ref: 8.8.0, SW:FC880",,,
"4.5e+02","2","PLC stop","PLC stop",,,
"4.5e+02","2"," Error ID number: 1"," Error ID number: 1",,,
"4.5e+02","2",,,,,
"4.5e+02","2","No message from PLC","No message from PLC",,,
"4.5e+02","2"," Error ID number: 2"," Error ID number: 2",,,
"4.5e+02","2",,,,,
"4.5e+02","2","GPS Hardware error","GPS Hardware error",,,
"4.5e+02","2"," Error ID number: 3"," Error ID number: 3",,,
"4.5e+02","2",,,,,
"4.5e+02","2","GPS accuracy not good","GPS accuracy not good",,,
"4.5e+02","2"," Error ID number: 4"," Error ID number: 4",,,
"4.5e+02","2",,,,,
"4.6e+02","2","GPS base station error","GPS base station error",,,
"4.6e+02","2"," Error ID number: 5"," Error ID number: 5",,,
"4.6e+02","2",,,,,
"4.6e+02","2","No message from GPS","No message from GPS",,,
"4.6e+02","2"," Error ID number: 6"," Error ID number: 6",,,
"4.6e+02","2",,,,,
"4.6e+02","2","Antenna height error left","Antenna height error left",,,
"4.6e+02","2"," Error ID number: 7"," Error ID number: 7",,,
"4.6e+02","2",,,,,
"4.6e+02","2","Antenna height error right","Antenna height error right",,,
"4.6e+02","2"," Error ID number: 8"," Error ID number: 8",,,
"4.6e+02","2",,,,,
"4.6e+02","2","Antennas too close","Antennas too close",,,
"4.6e+02","2"," Error ID number: 9"," Error ID number: 9",,,
"4.6e+02","2",,,,,
"4.6e+02","2","Antennas too wide","Antennas too wide",,,
"4.6e+02","2"," Error ID number: 10"," Error ID number: 10",,,
"4.6e+02","2",,,,,
"4.6e+02","2","Crane is out of track","Crane is out of track",,,
"4.6e+02","2"," Error ID number: 11"," Error ID number: 11",,,
"4.6e+02","2",,,,,
"4.6e+02","1","Crane is end of track","Crane is end of track",,,
"4.6e+02","1"," Error ID number: 12"," Error ID number: 12",,,
"4.6e+02","1",,,,,
"4.6e+02","1","Crane angle is too big","Crane angle is too big",,,
"4.6e+02","1"," Error ID number: 13"," Error ID number: 13",,,
"4.6e+02","1",,,,,
"4.6e+02","2","GPS antenna 1 zero satelites","GPS antenna 1 zero satelites",,,
"4.6e+02","2"," Error ID number: 14"," Error ID number: 14",,,
"4.6e+02","2",,,,,
"4.6e+02","2","GPS antenna 2 zero satelites","GPS antenna 2 zero satelites",,,
"4.6e+02","2"," Error ID number: 15"," Error ID number: 15",,,
"4.6e+02","2",,,,,
"4.7e+02","2","GPS 1 solution error","GPS 1 solution error",,,
"4.7e+02","2"," Error ID number: 16"," Error ID number: 16",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 2 solution error","GPS 2 solution error",,,
"4.7e+02","2"," Error ID number: 17"," Error ID number: 17",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 1 accuracy error","GPS 1 accuracy error",,,
"4.7e+02","2"," Error ID number: 18"," Error ID number: 18",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 2 accuracy error","GPS 2 accuracy error",,,
"4.7e+02","2"," Error ID number: 19"," Error ID number: 19",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 1 accuracy error","GPS 1 accuracy error",,,
"4.7e+02","2"," Error ID number: 20"," Error ID number: 20",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 2 accuracy error","GPS 2 accuracy error",,,
"4.7e+02","2"," Error ID number: 21"," Error ID number: 21",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 1 no message","GPS 1 no message",,,
"4.7e+02","2"," Error ID number: 22"," Error ID number: 22",,,
"4.7e+02","2",,,,,
"4.7e+02","2","GPS 2 no message","GPS 2 no message",,,
"4.7e+02","2"," Error ID number: 23"," Error ID number: 23",,,
"4.7e+02","2",,,,,
"4.7e+02","1","Crane is in the end of track","Crane is in the end of track",,,
"4.7e+02","1",,,,,
"4.7e+02","1",,,,,
"4.8e+02","3","GPS and Autosteering NOT OK","GPS and Autosteering NOT OK",,,
"4.8e+02","3",,,,,
"4.8e+02","3",,,,,
"4.8e+02","3","nu","nu",,,
"4.8e+02","3",,,,,
"4.8e+02","3",,,,,
"4.8e+02","3","nu","nu",,,
"4.8e+02","3",,,,,
"4.8e+02","3",,,,,
"4.8e+02","3","nu","nu",,,
"4.8e+02","3",,,,,
"4.8e+02","3",,,,,
"4.8e+02","3","nu","nu",,,
"4.8e+02","3",,,,,
"4.8e+02","3",,,,,
"4.8e+02","2","Ultrasonic sensor corner C","Ultrasonic sensor corner C",,,
"4.8e+02","2",,,,,
"4.8e+02","2",,,,,
"4.8e+02","2","Ultrasonic sensor corner A","Ultrasonic sensor corner A",,,
"4.8e+02","2",,,,,
"4.8e+02","2",,,,,
"4.8e+02","2","Ultrasonic sensor corner D","Ultrasonic sensor corner D",,,
"4.8e+02","2",,,,,
"4.8e+02","2",,,,,
"4.8e+02","2","Ultrasonic sensor corner B","Ultrasonic sensor corner B",,,
"4.8e+02","2",,,,,
"4.8e+02","2",,,,,
"4.8e+02","1","Autosteering Switched ON","Autosteering Switched ON",,,
"4.8e+02","1",,,,,
"4.8e+02","1",,,,,
"4.8e+02","3","Anticollision bypass","Anticollision bypass",,,
"4.8e+02","3",,,,,
"4.8e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"4.9e+02","3","nu","nu",,,
"4.9e+02","3",,,,,
"4.9e+02","3",,,,,
"5e+02","3","nu","nu",,,
"5e+02","3",,,,,
"5e+02","3",,,,,
"5e+02","3","nu","nu",,,
"5e+02","3",,,,,
"5e+02","3",,,,,
"5e+02","3","nu","nu",,,
"5e+02","3",,,,,
"5e+02","3",,,,,
"5e+02","3","nu","nu",,,
"5e+02","3",,,,,
"5e+02","3",,,,,
"5e+02","3","nu","nu",,,
"5e+02","3",,,,,
"5e+02","3",,,,,
"5e+02","2","Locking Pin 1 driving time expired","Locking Pin 1 driving time expired",,,
"5e+02","2",,,,,
